Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado
11:1:53;9;6.380619;-75.470442;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:53;9;6.380619;-75.470442;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:53;9;6.380619;-75.470442;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:53;9;6.380618;-75.470442;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:53;9;6.380618;-75.470441;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380618;-75.470441;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380618;-75.470441;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380618;-75.470440;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380618;-75.470440;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380617;-75.470440;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380617;-75.470440;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380617;-75.470440;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
