Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado;STFT;LTFT
13:57:41;11;6.380677;-75.470440;0.00;0;1415;0.000;0.000;0;0;0;0;1.40;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:41;12;6.380679;-75.470441;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380679;-75.470441;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380679;-75.470441;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380679;-75.470441;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380679;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380679;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380679;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380680;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380680;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380680;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:42;12;6.380680;-75.470442;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380680;-75.470443;0.00;0;1415;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380681;-75.470443;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380681;-75.470443;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380681;-75.470443;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380681;-75.470443;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380681;-75.470443;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380682;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380682;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:43;12;6.380682;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380683;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380683;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380683;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380683;-75.470444;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380683;-75.470445;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380683;-75.470445;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380684;-75.470445;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380684;-75.470445;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380684;-75.470445;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380684;-75.470446;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:44;12;6.380685;-75.470446;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
13:57:45;12;6.380685;-75.470446;0.00;0;1414;0.000;0.000;0;8;0;0;1.22;100;0.00;0;0.00;0.00;0.000;0.00;0.0000;0.00;0.00;0;0.00;0.00
