Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio
12:28:42;8;6.344764;-75.533523;0.00;0;1533;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:42;8;6.344763;-75.533523;0.00;0;1533;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:42;8;6.344763;-75.533523;0.00;0;1533;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:42;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
12:28:43;8;6.344763;-75.533523;0.00;0;1534;0.270;0.050;0;0;0;0;1.62;100;0.00;0;0.00;0.00;0.270;0.00;0.0000;0.00;0.00
