Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio
8:49:16;13;6.380677;-75.470414;0.00;0;1399;0.020;0.000;0;0;0;0;1.34;100;0.00;0;0.00;0.00;0.020;0.00;0.0000;0.00;0.00
8:49:16;13;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1568;13;0;31;1.34;100;0.00;0;0.00;0.00;0.020;0.27;0.0000;0.00;0.00
8:49:16;13;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1581;13;0;31;1.34;100;0.00;0;0.00;0.00;0.020;0.28;0.0000;0.00;0.00
8:49:17;13;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1567;13;0;31;1.34;100;0.00;0;0.00;0.00;0.020;0.27;0.0000;0.00;0.00
8:49:17;13;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1550;13;0;31;1.34;100;0.00;0;0.00;0.00;0.020;0.27;0.0000;0.00;0.00
8:49:17;13;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1572;13;0;32;1.34;100;0.00;0;0.00;0.00;0.020;0.27;0.0000;0.00;0.00
8:49:17;14;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1610;13;0;31;1.30;100;0.00;0;0.00;0.00;0.020;0.27;0.0000;0.00;0.00
8:49:17;14;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1620;13;0;30;1.30;100;0.00;0;0.00;0.00;0.020;0.28;0.0001;0.00;0.00
8:49:17;14;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1624;13;0;30;1.30;100;0.00;0;0.00;0.00;0.020;0.28;0.0001;0.00;0.00
8:49:17;14;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1627;12;0;30;1.30;100;0.00;0;0.00;0.00;0.020;0.28;0.0001;0.00;0.00
8:49:17;14;6.380677;-75.470414;0.00;0;1399;0.020;0.000;1580;13;0;31;1.30;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:17;14;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1576;13;0;31;1.30;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:17;14;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1569;13;0;31;1.30;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;14;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1523;13;0;32;1.30;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1523;12;0;32;1.63;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1544;12;0;32;1.63;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1553;13;0;32;1.63;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1567;13;0;31;1.63;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1567;13;0;31;1.63;100;0.00;0;0.00;0.00;0.020;0.27;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1588;13;0;31;1.63;100;0.00;0;0.00;0.00;0.020;0.28;0.0001;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1596;13;0;31;1.63;100;0.00;0;0.00;0.00;0.020;0.28;0.0002;0.00;0.00
8:49:18;13;6.380677;-75.470415;0.00;0;1399;0.020;0.000;1593;13;0;31;1.63;100;0.00;0;0.00;0.00;0.020;0.27;0.0002;0.00;0.00
